I: What are you looking for now?,,,Predictable (16),Effective (4),Satisfaction (6),Trust (1),Efficient (2),Vector: ,Invoke (17),Row Range, Predictable (6), Effective (0), Satisfaction (1), Trust (0), Efficient (1),Not Predictable (10),Not Effective (4),Not Satisfaction (5),Not Trust (1),Not Efficient (1),Refactorings
"I'm trying to see the structure and quality of the tests. Like, do I trust them?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: And what are you finding?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"They're written differently from how I would write them but that's ok, that's fine. If writing code is kind of similar to writing prose then we all have our own different ways of writing things and expressing the same ideas. The reflection tests I'm curious about. But I don't know if I actually need to care about this just yet.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It all makes sense. I'm ready for the first task.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T1. [07:35],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Okay. So we are only caring about the test classes here, not about the production code at all. So let's open up StringUtils.test.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How do you plan to solve this?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"What I'd like to do is to extract that one - go method by method, pull them into their own class like extracting methods into a new class. I'm going to take care of any shared setup and cleanup as well, but moving - like - move one method at the time, run the test, make sure it still passes. And then continuing on method by method.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm going to take a look - and close some of these.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
tests only empty and blank.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Move instance methods.. All candidate variables have types that are not in project, make method static and then move .. I don't actually know what that's saying.",,Invoke (Move),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Move
I: Is this normally how you would have tried to do it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That is a good question. With several static variables as well. I don't actually need the static variables in any of this.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would probably make the class first, and then move it into that class, rather than move and create at the same time. Do you want me to proceed in that way?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Yes sure, you are not in any way bound to the plan you made.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No. Silly.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Uhm, I don't really want to make this static. But this also gives me nothing. Ah, ok sad.","Invocation
Not Effective (“I don't really want to make this static. But this also gives me nothing.”)",,0,1,0,0,0,"<0,1,0,0,0>",0,18-18,0,0,0,0,0,0,1,0,0,0,
I'll make a new Java class I guess then. StringUtils - let's call it empty and blank. Unit tests for methods of StringUtils which been moved to their own test classes. Ok. Cool.,,Create class,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So then, heck, if what I want to do isn't working well, let's move it. Let me move it correctly here.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Great. Cool. So that isAnyNotEmpty. Let's go for isAnyEmpty. I don't really know what these comments are going for here. No, that's not really. Maybe you need a testing constructor. No sorry. What I want to do. I should be able to move it.",,Invoke (Move),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Move
I: What did you expect this move refactoring to do here?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That's a great question. I would expect that move refactoring to be able to move an instance methods between two classes. And when it's talking about like, all candidate variables have types that are not in the project, I don't really know it means by candidate variables.","Invocation
Not Predictable 
 (“I don't really know it means by candidate variables. “)",Invoke (Move),1,0,0,0,0,"<1,0,0,0,0>",1,23-23,0,0,0,0,0,1,0,0,0,0,Move
I: Have you used this refactoring before?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes I have.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did it work then?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It pops up - I'm used to it popping up a dialogue that contains all the methods and fields in this particular class and with like, checkboxes, and I'm able to either move or copy them - depending on whether I choose move or copy - to another class in another package. I'm also used to it working - Oh, I could potentially copy the class and eliminate the other methods that I don't need.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Right, as as alternative strategy?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
