Intro chatter [04:17],,,Predictable (1),Effective (0),Satisfaction (1),Trust (1),Efficient (2),Vector: ,Invoke (0),Row Range, Predictable (0), Effective (0), Satisfaction (0), Trust (1), Efficient (2),Not Predictable (1),Not Effective (0),Not Satisfaction (1),Not Trust (0),Not Efficient (0),Refactorings
T1.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[04:20] Trying to figure out what's in the test folder.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why do you use the terminal?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It's fast and I know exactly what folders to search in. IDEs have it built in the files to search and.. But I usually have multiple projects so I don't have to open multiple instances of VScode so if I do a search I will get files from all projects and I don't want this. This way I am searching just the folder that I want to search. I can quickly narrow down what I'm looking for. When I searched for test ls I was curious what was going to pop up...,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Test cases are already here. Test is any empty.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you checking?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm looking for this method. This one seems pretty straightforward I'm just moving all those test cases into a single class named something descriptive so it's easy to find. I haven't looked at the structure of these files yet but there might be some supporting code that I need to move. First I am going to create a final destination for it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[10:06] Let's see the pattern..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
String utils trim empty test,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I spend a lot of time figuring out good names for stuff always try to put some thought into that. I'm looking .. there's stringutils and stringutilstrimempty. I'm trying to see why they were split out in the first place. The problem is I don't know why they were split out. [11:40],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
TrimStrip methods? What test here.. so there is a string utils class a method isEmpty and it's testing ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[15:11] I wanted to look at the code this was testing but I think I am going too far and don't need to worry about that so i'm taking a step back. A big part of our job is that the pieces we are working on, it's not ok to just take the task for what it is and do that. A lot of the time the code we are working on has impact in other places and in this case if the task is just to fix some test cases run it and see what is wrong and fix it but it may be some things I am totally missing if I don't look at the code itself that it is testing. Like what I don't understand right now is why those two are separate files and I would like to understand that but it may take a bit of time. [16:23]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's move one test case and see what we need to make happen.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
TestIsAnyEmpty. This one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
