T1 [06:39],,,Predictable (4),Effective (0),Satisfaction (2),Trust (2),Efficient (0),Vector: ,Invoke (1),Row Range, Predictable (3), Effective (0), Satisfaction (0), Trust (2), Efficient (0),Not Predictable (1),Not Effective (0),Not Satisfaction (2),Not Trust (0),Not Efficient (0),Refactorings
"Ok, so all the empty and blank ones should go into a new file. [08:39]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know what to name this. This should probably be something like StringEmptyTest.java?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
StringUtil..trim-empty - what's the trimming about?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Wait, are these even testing the trimming? And is this code found anywhere else?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you looking for now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This is testing StringUtilsIsEmpty, and it's in StringUtilsTrimEmpty. I see all these tests about trimming and I'm just not sure what this is yet, what it's here for. I just want to check that the tests aren't doing the same thing. I should have a class now, like StringEmptyTest, and I'm going to comment out all the tests listed here and just paste them in. That's my current plan. Then make sure there's no complex... not sure how they're organized though. I'm also trying to.. these refer to this thing and this thing. [10:55]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I don't want to take this with me, is the only thing. It's used everywhere. I can just go for it?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Go for it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Oh jeez.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What was that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This license thing. I'm not going to care about it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Probably the first thing I'll do is this.. [11:45],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"And here, testISAnyEmpty. Ok, so you're coming with me as well as testIsAnyNotEmpty? Not empty .. is all empty .. any blank .. *reads tests* [12:16]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I copied it, commented it out. Can I double check the - it doesn't look like it's using any of the constants up here, and there's no at before, so I think I should be safe to just paste it in the new one that I made.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I can't find it. [13:10],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Here it is. Where did I put it? Tests?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm just making sure that these tests run, and they do just fine. [13:52]",,run tests,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm going to delete what I just commented out.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"One little oddity here, I don't know if this is a setting. Like I'm just to seeing this turn blue if I edited it, and it helps me keep track of what I made changes to. Is there a reason that isn't on? [14:17]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Its probably just some setting,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now that I think that works I'm just going to delete this.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now it's blue. It works sometimes. This new one should be green. It makes me lose my place. [15:06],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then stringutils.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The only thing is this constant. I feel weird about taking it over, but it looks small enough that I feel safe copying it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What other things did you consider doing? [15:40],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The only other things in my head sounds even worse to me. making it public and accessing it. Moving it to a test-constant file would be nice if it is being used elsewhere, but I mean - is there something like that elsewhere? [16:02]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I want to see if this exists in any other files. *searches in the menu* I feel helpless without my shortcuts. [17:28],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm going to give up because this is a waste of time. I'll just copy it then. [18:43],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
From this guy all the way down to testIsNotBlank.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I feel weird about this. [20:04],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What code changes did you do in order to solve this task? [21:10],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I just moved methods around. I made a new class, moved methods around, and copied a field. I used global searches, copy paste, my favorite tools. I'm also going to delete these comments.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated the things you did? [21:45],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I have a vague feeling that intelliJ has these features, but you can tell I don't know how to use IntelliJ other than the way I've been using it for the past 2.5 years, the way it was given to me on my computer. making changes to the editor using advanced - I don't know. I vaguely remember learning once that you can select a bunch of methods and just click a refactoring operation that just moves it elsewhere. I don't know how to use it and I - actually I'm just curious now.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: were you inclined to use it in the task? [22:39],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Never even came - it was never a thought in my head to do that. Copy paste seemed like the right thing to do. That's how I would do it. Comment things out, copy them over and check that everything works. The number of tests hasn't changed so I'm inclined to believe that I didn't screw up. One of the things I like to do - I copy and comment. I always copy and comment to make sure that I don't copy one thing and comment out someting else. [23:25]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: so that's like a rule for yourself,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah! I hold the command button and slash - and it's like one action in my head. It's like moving it and leaving a record that that happened. [23:46],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is this thing here - extract .. oh man. Method. Yeah method. This would probably do it. There's even a shortcut for it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you think this would have done?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It would probably bring up a menu and give me a list of classes and say where do you want to send it to. And it would probably give me warnings about dependencies and stuff like that. like this file doesn't have this thing or this file needs this method or things like that. That's what I would guess. [24:32],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think that IntelliJ is pretty good at tracking dependencies like that.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you solve this task if you were to do it over again? [24:43],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
