Familiarising with IDE,,,Predictable (3),Effective (4),Satisfaction (3),Trust (1),Efficient (1),Vector: ,Invoke (5),Row Range, Predictable (1), Effective (0), Satisfaction (0), Trust (1), Efficient (0),Not Predictable (2),Not Effective (4),Not Satisfaction (3),Not Trust (0),Not Efficient (1),Refactorings
T1 [04:39],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So we just want to create a new testclass and - these into it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Wondering what I should call this,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
StringUtils [05:56],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think I need to better understand what is really in this class before I can choose a name.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So I'm moving the tests about empty and blank [06:32],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I feel like these tests are in the right class, and the others are not.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you are disagreeing with the task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It amounts to the same. These tests are testing empty, and these others are testing strip. Here one is testing trim as well. So it feels like this grouping is a little strange. [07:26]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Wait a second. I did not read this carefully enough. So we want to group all of these together. That makes more sense.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
TestIsAnyEmpty [07:57],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, so I'm just going to follow the directions.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you plan to do?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'll create a new class. I'll call it StringUtilsEmptyOrBlankTest [08:35],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And now I'm wondering if I can actually use the outline view to move stuff. [08:41],,Named (Move),0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you do that in eclipse?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
