This is just kind of like a datastructures library. Utils.. oh that's long.,,,Predictable (3),Effective (2),Satisfaction (2),Trust (2),Efficient (2),Vector: ,Invoke (3),Row Range, Predictable (2), Effective (1), Satisfaction (0), Trust (1), Efficient (0),Not Predictable (1),Not Effective (1),Not Satisfaction (2),Not Trust (1),Not Efficient (2),Refactorings
I: Yeah. General utils.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I am trying to get a sense of what utils you are presenting. This is deprecated, and this.. some of these aren't even used, I'm curious why. I'm curious if the tests pass. [02:47]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T1,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The approach I am going to take, is go into the string utils class, try to highlight all these methods - I hope they are in sequence so I can highlight them in a sequence - and I think intelliJ has a functionality for extracting things into a new class, so I'll probably use that. And I will repeat the process with stringUtilsTrimEmptyTest. And since they only test empty and blank I am going to name the class stringUtilsTestEmptyAndBlank java. [04:04]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It's right there..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Good, this is great, they are all in order. And it looks like they are not using anything from the test class itself. So I can probably just highlight and refactor, all the way from test is anyEmpty to testIsAllBlank. Ok, let's see if I remember how to do this. Refactor, Move ..",,Invoke (Move),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Move
"Yeah. Oh, ok This is going to be interesting.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I thought move is going to give me the option to move it to a new class. That doesn't look like an option I can see.,"Invocation
Not Effective (“That doesn't look like an option I can see.“)",,0,1,0,0,0,"<0,1,0,0,0>",0,9-9,0,0,0,0,0,0,1,0,0,0,
Let's see if i can extract a superclass. [05:21],,Invoke (Extract Superclass),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Extract Superclass
"Ah, and it looks like I can. I am not sure that is what I want to do, but let's try it anyway, because this won't be that expensive to undo. I am going to call this StringUtilsEmptyBlankTest. Here, great. Refactor. Yes. [05:51]","Invocation
Effective (“it looks like I can”)
",,0,1,0,0,0,"<0,1,0,0,0>",0,11-11,0,1,0,0,0,0,0,0,0,0,
"Great, it is not giving me anything. Ok, so I have created the class, so maybe this is going to help. Now maybe I can use move. Move ...","Invocation
Not Satisfaction (“it is not giving me anything”)",Invoke (Move),0,0,1,0,0,"<0,0,1,0,0>",1,12-12,0,0,0,0,0,0,0,1,0,0,Move
"You know what, there's a reason copy and paste exists so I'll just do that. [06:23]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you decided to not use the tools?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, because I can't find them.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And I probably need to do some additional setup here. [06:36],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Well, StringUtils is static.. so I guess that is .. not bad.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Alright, now what I am going to do is to rerun all the tests to make sure I haven't broken anything, because I am paranoid. [06:57]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's see what happens.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Great, so I haven't broken anything, according to these tests. That is fine. I have moved one test, so I will move over to the other. [07:56]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So the same thing here. [08:08],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I guess I am not even going to bother trying to find the tool now, I will just do it manually.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why did you decide to not try? [08:21],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Because I couldn't find it the first time, so I wasn't motivated to try. And I know that this will work, instead of me fumbling around. [08:30]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Here we go. Oh, ok, this will be a problem, it can not find foo so we have to go back. What is foo. Ah, it is a private static final string foo. That is used here. [08:49]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, I wanna see where else this is being used. It is only used in the trimEmptyTest. What I'm thinking is I could make this public, so I can access it from the stringutilsemptyblank test, or I could create a copy of it in the stringUtilsEmptyBlank test, which is, I guess, ok? It is just a test string, they don't need to be the same across classes. Or, this is overkill I guess, but I could create like a top-level class which holds this, and have both of these extend it. But for the purposes of this, I don't think this is really necessary, and I don't think it is what the system is doing, because these tests aren't really extending anything, so I am just going to go with creating a copy. [10:00] And that should fix the problem with foo. So, the same thing here, I am going to run all my tests. [10:18]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Great! So that - I think that is good. The tasks ask me to make a test class that only tests empty and blank, and I think I have done that. [10:54]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The first thing I did was to look at the classes from which we wanted to extract the classes. And then - I kind of had a model of how I wanted to do this. [11:07] I know that IntelliJ has extract method which, first I need to highlight the block of code I want to refactor, because this is kind of like extract method, in that you are extracting a block of logic from an entity, except this time it is at the class level. So I basically found the test class that we wanted to extract it out of, then I found the test methods, made sure they were in sequential order, so I could just easily drag my cursor, and then I refactored them out into a class called stringUtilsEmptyBlankTest. After failing to find the automated tool that would help me solve that problem.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: at what point did you make the class? [11:59],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I made the class when I tried to use the tool for the first time, when I said I want to push these members into a class. The class was autogenerated. From there I went back to the test file where I had the methods I wanted to extract highlighted, and then I just cut and pasted them.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: You mentioned that the methods were in order, what if they had been spread across the file, would that have impacted your workflow?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, for sure. That would have forced me to move back and forth across the files. [12:34]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Let's say we had method I want, method I want, method I don't want, method I want, then I could take the two methods I want, paste them in, and go back to the file highlight, and then paste that in. But I think I could have solved that problem if I knew off top of my head how to use IntelliJ's multicursor highlighting. That would have been useful.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: And also cut-and-paste?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, because I cannot be bothered to find that tool.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What made you decide to stop trying ?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The fact that I knew for sure that I could definitely just do the cut and paste as fast or faster than the time I would have spent searching through all the submenus, locating the tool, it would be faster to cut and paste.","Reflection
Not Efficient",,0,0,0,0,1,"<0,0,0,0,1>",0,38-38,0,0,0,0,0,0,0,0,0,1,
"I: And you said you had a model for how you wanted to do it, can you elaborate on that?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"How I approach this kind of refactoring, when I basically take logic, rip it out and put it somewhere else, is locate the logic, highlight it, first right-click or whatever, on the IDE to see if there is an option for me to extract or rename or whatever, and then go from there. If the submenu presents the option I am looking for, in this case move or extract, in that case I would click on that button and see what other options pop up, if not I already have it highlighted so I could easily cut and paste it into a class I created. [14:09]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any of the changes you made you are unsure if you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"The static constant foo. I'm not sure if that was the best design going forward. The first change I made was independent of the class it self, because it did not use any of the class' members, but the second change in stringUtils, it turned out that it did use like a class member in its test, so I have to make a design decision if I want to make a superclass just to hold that, which I thought wasn't worth the tradeoff. [14:51]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Do you know of any other tools that could have helped you, except the ones we already discussed?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No I don't think so.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Task 2 [15:13],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So my general approach is to navigate to StringUtils, open up the test suite next to it, and run the entire test suite first, remove the methods and run the tst suite again. [16:06]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm really paranoid so I'll just run the tests again. [16:32],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So nothing is broken yet - I'm sure it will get broken because that is what refactoring is.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So we are in StringUtils, notBlank",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Is this overloaded? No - I want to make sure that we are deleting the right version of it. This is what I want to use - the structure. And it's a big boy so we have to wait.. isAnyNotBlank. It looks like it's not overloaded, so I can just delete it and be sure it's the right one. So I'll just highlight this block here.. [18:01] Ooops, did I delete the right one? Let's take a look. [18:10] Ahh.. so now I can't use this. That is going to be a problem. Now I can't .. this is not going to run ok. [18:26]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Where is this used? Oh Boy! Oh.. it looks like it's only used in the test. Am I allowed to delete this method? Because I don't think it can run any more without the original one. [18:50],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
throw an exception unimplemented.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Well, just as a reminder to come back here",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: are you expecting this to be part of the solution or is it, a note to yourself so to speak?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It is a note to come back here. We're not going to remove this method, as specified in the task, so I'm going to have to come up with some method to fix this. [19:55]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm going to make all the isBlankTests fail, so I can come back to them and see that I have to fix this.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes I know that is unhandeled. There we go - or not there we go..this is going to be horrible. Let's see if we can run our tests. [21:02],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That is good because now we are going to remove all these tests, because we removed isNotBlank so we should remove all the tests associated with it. [21:30]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What happened now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I removed the method isANyNotBlank and I ran the tests to see if something broke, and we can see that something broke, the tests associated with the method we deleted is complaining that the method do not exist, which is to be expected, so now I am going to delete these because we don't need these any more. And now - oh this is going to be an issue. Because it says unhandled exception. What I will do for now... is I will comment this out to see if anything else fails in our testing suite. [22:18]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'll make a note here for myself TODO back an fix these.. [22:26],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Great! So the tests in this suite pass, so I will run all the other ones.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why did you do the comment now before running the tests?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If I didn't comment this out I would have a compile error saying I didn't handle the exception. And that is kind of fine - that is the point of the exception, to remind me that I need to come back and fix this. But for the purposes of testing whether anything else in the system fails I can't have this yelling at me so I commented it out. Now what I am going to do is bascially uncomment these out, and go back to fixing this. [23:24]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Looks like this will return true if all the char sequences are empty or null or ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
isanynotblank ... that is annoying..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I am trying to figure out which other methods I can use to fix this error. [24:05] So bascially we need to replace the the functionality of this method, so I think is is a good idea. Then I can go and see .. char sequence..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I will use the method isBlank.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So basically what I need to do is loop over this.. [26:34],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
reimplementing method.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So what I'm doing here is, that consumes a char squence, and this is an array of char sequences.. [28:28]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now let's run the tests again. [28:53],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, so two passed and two failed. I think what we are missing are null checks. [29:24]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So now you are reading the failing test?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, I will use it to guide my implementation. It is probably not the nicest code.. I feel bad writing this code. [30:05]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This is fun, this reminds me of work.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"All the tests pass and I'm pretty happy about that. Now we've done that, so now I will look at anynotempty. I will be a little more careful this time and see where it is used, but I will still go through the same process where I delete it first and then look at the tests. [31:04]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Spelling error.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am going to remove this. So where is this used? Once in here. I'll write - I'll still throw an exception. [31:37],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you elaborate on that choice?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I use an exception because it is designed to really go wrong, to say you have to look at this. If I return for example false here, it can make some tests pass unintentionally, whereas with an exception you are guaranteed that they will crap out. [32:14]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"That's that. Back to isNotEmpty. Here we go. Now I am going to delete this. Oops, I deleted something else too. Nope? No, just seeing things. I think? [32:42]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Now you checked the git diff?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, I thought I saw something else get deleted but by checking the diff I verified that only what I wanted to delete was deleted. [32:55]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It is a relief. Now this is red - of course - actually it is not it's lying, because I know from here we're good to go.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Going back to the tests - to stringutils - I'm not going to bother going through the tests, I'll just run all of them and see what fails. That will be easier than me checking for the specific tests that has compile errors. I'll let the compiler do the work. [33:35]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Great, awesome. Now I am going to delete these. It's good. And what else is there. And here. Ah - I'm not going to delete these - that was an exception! THat was close. [34:09]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I am going to follow the same process I had before.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you doing now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I am kind of refactoring the behavior of isAllEmpty. The same thing we did before. And I think I can use kind of the same structure as isAllBlank - I think I will just copy and paste the method of this body, because they are kind of similar.. isAllEmpty. [35:01]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This returns a boolean, and also - in this case it is going to be false, ok. [35:17]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Here I am going to run my tests to see what is failing - I don't want to go ahead and implement it. Obviously it is going to be failing tests..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You do not expect it to work?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
