"Let me see if I can figure out IntelliJ. First step - that's actually something I haven't played with, since I'm an Eclipse guy from history. I just need to see if a couple of things works like I'm used to.",,,Predictable (11),Effective (5),Satisfaction (6),Trust (7),Efficient (3),Vector: ,Invoke (11),Row Range, Predictable (6), Effective (2), Satisfaction (1), Trust (6), Efficient (3),Not Predictable (5),Not Effective (3),Not Satisfaction (5),Not Trust (1),Not Efficient (0),Refactorings
T1 [02:57],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"We'll go find the actual classes that we're talking about. We have the few tests that we want to have here, and we want to basically get them out into another class. One thing I'd want to look at here is how the tests are structured to make sure that it makes sense where you want to put them, and of course come up with some type of name for the test class. [03:41]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I don't know all the different things that are here. But in most cases, I would take the approach of creating the class, then moving the specific tests across, so it's pretty simple. What could be useful in a case like this of course, is a refactoring that says I'd like to move these test to somewhere else. I don't know if that exists currently or not.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You were looking at the extract menu.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Exactly, so I don't know IntelliJ, but sometimes extract is like, extracting into another place. Move was of course something that I first hit on. I can move it into a class if I first create the class, but it'd be nice if I can do both at the same time. The other place that I would look at if there was an overall view of the class, like eclipse has.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: That would be structure down here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Right. So the question would be if you can do something like this. [04:57]
 and basically select multiple of these and then be able to refactor them out - of course would make my life really easy. Now I don't think most of these tools have that ability, because even here, there is no option to move it because it's not actually looking at the hierarchy. But if you're looking at moving a chunk of things, that's one way I would go about it.","Invocation
Not Effective (""there is no option to move it “)",,0,1,0,0,0,"<0,1,0,0,0>",0,8-8,0,0,0,0,0,0,1,0,0,0,
I: Did you expect it to have it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No, I didn't expect it to have it. I hadn't even thought about doing something like this before. Because the way I always thought about testing is testing on a class basis, so setting up the tests to match the classes more closely, not based on the function of the test.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Do you want me to actually finish this? 
 I: Yeah. 
 Alright. [06:24]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
