T1,,,Predictable (7),Effective (4),Satisfaction (3),Trust (4),Efficient (1),Vector: ,Invoke (3),Row Range, Predictable (4), Effective (1), Satisfaction (0), Trust (2), Efficient (0),Not Predictable (3),Not Effective (3),Not Satisfaction (3),Not Trust (2),Not Efficient (1),Refactorings
Another way of doing it is probably tag the tests but that's probably not what you wanted so.. ok.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
so what I need to do then these tests all look pretty straightforward. Testisnoneempty. Are they self-contained? They look kind of self-contained to me as if they are not including other methods.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: is that what you mean by straightforward,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes. So I'm looking at this. If I was to refactor this into a single test-class which — I’ll create this test-class soon — I’ll look at this and say, hi is it going to call anything else that I need to take with it. There's probably a refactoring tool that can do that for me but I would probably just copy it over and say does it give me errors?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"emptyandblank 
 so I'll create a new class 
 String - UtilsEmptyBlank seems like a reasonable name. 
 So how do I do this. 
 Oops. Is that what I wanted? Ok let's pretend it was. 
 String.. 
 sorry what was the name of it again? StringUtilsEmptyBlankTest. Sorry I've been programming in Typescript for quite some time. So now I have this thing.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Now of course this has nothing in it and I don't have all the stuff at the beginning that I need. So one thing I might have done is actually to just copy the entire class then I've got all the stuff around it and then go and delete the stuff. But why would I do that.
 So what am I doing.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I must go back to... And now what do I need here. I probably need a lot of these imports. So another way I'd do it - oh I'm definitely going to need this one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Probably what I'd do is I'd rely on the compiler. I'll just say testIsAnyEmpty - where is that one. So this one I'll just copy this -- I don't know if I want that - I'll take that out. Then go here just paste it in. See if it complains about anything. It doesn't complain. Wow. That was too easy. What's gone wrong. So I'm suspicious now that was too easy I'm probably missing something. So I will go up here and have a look at this. Because any of these things will I'd learn if it wasn't going to work right it would give me a compiler problem.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So that would be if you were missing imports.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Missing imports yes for sure.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
