,,,Predictable (1),Effective (2),Satisfaction (2),Trust (2),Efficient (2),Vector: ,Invoke (1),Row Range, Predictable (0), Effective (1), Satisfaction (0), Trust (0), Efficient (2),Not Predictable (1),Not Effective (1),Not Satisfaction (2),Not Trust (2),Not Efficient (0),Refactorings
Task 1,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm not familiar with Java or IntelliJ so my way to refactor will be manual. If I used this tool all the time I may look into how the refactoring works. Although in this case I would need something very specific..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What kind of tool would you look into? [09:28],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I don't know if there is a plugin or something where I can say that I want to move the following classes or methods to another file you can probably write that, I don't know if it exists. [09:38]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
But you could also just do it by hand.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that similar to any tool you have used elsewhere?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In the rubyworld we usually do it by hand but usually we don't let it get to a point where it is this bad. [10:02],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
StringUtilsBlankTest... [14:48],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Find the string utils test. Find everything that has to do with blanks. This is quite common for us. You don't know how much of the constructors and headers you have to copy over.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The easiest thing we typically do is to copy everything and then delete what we don't want.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
One way to not have to decide what to go where is to start by duplicating the file and then decide what to remove. Here it is so much stuff maybe it is not worth it. I don't know what part of a constructor .. the nice thing with a second step is that you clean up the constructor so you only have what you need in each file.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
the empty... they're all in order. I'm sure there are nicer ways to do this.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Before I do it I would just try to search.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I see the names here anyEmpty any nonempty. I don't want to have to read all these. I will just delete this and make sure all the tests I want are still there. [17:44],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I did not include the... there is another file. [17:53],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm saving this file. In theory this should just run.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So these tests pass which means I can remove these from the other side. It is a bit tedious - I don't know if there is a faster way here - this is how I would normally do it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It is kind of mechanical because you don't want to do 100 things at a time, you only want to do a small thing and if you only do a small thing then automating it is no faster than doing it by hand. [19:36]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So I can remove the duplicates from here now. [19:41],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Run this one. [19:44],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Seems to pass. Let me do the same thing for the other one. StringUtilsTrimEmptyTest. [20:42],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So in the previous case the test class grew too big and we split it out but in this case the tests are just in the wrong place. It is different root causes but addressed in the same way. [20:55],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Hopefully again if I move these over we may discover that we need somthing from the constructor. For example these imports i would need to reconsile with the ones from the other. The easiest thing is just to copy and see if it works. [21:27],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The nature of these one that they are missing is that it will not run. If they are missing the next thing is to move them over. This is again a challenge when you break up test files you look at their shared dependencies and there is a culture of abstracting it like this and some people say that if you abstract it too much your tests become like code so some people say duplicate it in every test then you get more lines of code but it makes the test more independent.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So let's see I don't see foo here if it depends on it then we will get an error. And we do. [22:34],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Were you expecting the error to show you the next step?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. And hopefully I get the right error. As part of TDD you expect failure but you expect the right kind of failure.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
