01:00,,,Predictable (9),Effective (4),Satisfaction (7),Trust (6),Efficient (8),Vector: ,Invoke (3),Row Range, Predictable (6), Effective (3), Satisfaction (3), Trust (3), Efficient (3),Not Predictable (3),Not Effective (1),Not Satisfaction (4),Not Trust (3),Not Efficient (5),Refactorings
"tests have been written
 For the tasks I should assume that the unit tests are correct and if they're failing that means that they are failing because of the tests. 
 I: Yes this is like an existing project. Let's imagine that this is between releases.
 Ok so someone has already .. ok. 
 Ok, so start with a plan, change it at will.
 I: Yes, it's very free. I might stop you before you complete the task because I'm interested in how you 
 If you think, you'll probably finish this anyway. 
 I am ready to begin the first task.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[03:50],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T1.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Locate the relevant tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'll just search for the - I'll just find.. testIsAnyEmpty..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm just going to assume that what you're giving me is correct that there's not some trick and that they all exist.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok I see. There's two different test files and we wanna create a single test - we wanna extract these methods and put them into this test file.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That sounds pretty straightforward. The simplest thing to do is just to hope that you can copy-paste them all from one place to another and see what breaks. There might be some declarations that aren't there. And there might be some kind of tester thing that is initialized. I assume StringUtils is just one - and StringUtilsTrimEmpty - I'm not sure why there's a separate class for this but there is. And yeah this sounds really straightforward. It sounds like it's just a copy-paste job. I think one of the harder parts - I think it's going to be easy to copy over and get that to work than it is to clean up the remaining stuff because there might be certain variables or such which are - I have to identify which ones are the ones only for the tests I extracted which I assume need to be removed because otherwise they're just redundant doing nothing but hopefully the IDE should catch that and say you're not using this any more. Ok I think that sounds good. How does this approach sound?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Good.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok last thing do I .. because there's annotations.. So if I just create the test file and import junit ..then all the imports should come as well.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok so where should I put this? Is there a stub already or should I make it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: there's no stub,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Interesting. The tests are all here but they decided to just leave them in different files. So I'll just follow convention instead of adding a different file. Because if they are expecting that then I'll do that. New file..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Actually it may be easier.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Especially if we're extracting StringUtilsTrimEmptyTest.. oh well.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Something I would do is if the test is small enough is just to copy paste one and delete a bunch of it,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you mean by copy paste one?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[07:39] I will start with one class one of the files as my reference. I'll make a clone of it remove - because there's four in here - remove all the other ones and I'll find the other ones and copy them in here. It might be easier for me to just use StringUtilsTest but I think there was a bunch of stuff in there that I .. I'll se which one to use. And I'm worrying I'm overthinking things but I'll just copy this one. StringUtilsTrimEmptyTest - ok we should come up with a name for this. For emptyAndBlankStrings. So how about I call it StringUtilsEmptyBlankTest - not the best name but we can change that later. it is important with names. Let's see StringUtilsTrimEmptyTest and StringUtilsEmptyBlankTest - let's not even get into that StringUtilsTest feels like it should encompass everything and I don't understand the actual reason why they have a StringUtilsTrimEmptyTest but I'm just going to call it StringUtilsEmptyBlankTest.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I know that a lot of times people are hesitant to change stuff that already works because they don't want to break things.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok we don't need all the stuff down here. Done. Goodbye.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In the interest of time I'm not going to read this.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok so my step 1 was combining step 2 was cleaning up and I forgot I have two different classes to combine from. So I'll just start copying as I got. TestIsEmpty - wait we have already done these. So I'll just remove them. Oh how convenient that this comment line is already here. It looks like the only thing that is - oh what's the IntelliJ hotkey for removing imports? I remember in Eclipse. It looks like the only thing I need to do here is to remove imports because it looks like the only thing defined across classes is foo. Might need to update the documentation.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So that looks good right now. And then StringUtilsTest.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Where are we now. testIsAnyEmpty. Oh here it is. I'm going to copy now - testIsAnyEmpty .... how convenient that they are in this block together.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: so now you just cut them out?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah. I'm going to just separate these. That way I can at least know that that was the division.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is that doing something you're doing because you want to keep it in the final class or to help you think.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
To help me think. Actually I'm not sure if I want to keep it in the final class or not but for now it's just to help me think. That's why I only partially completed it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Back to here. I have removed it. No wait that is the wrong one that's already saved. Save let's see. Is there any, looks like all the imports are still the same looks like the variables are still the same the green lines are more about typos. Looks like there are some static pre-initialized things that will come up later well we'll see if I need them later. I just realized something I could have done in hindsight which is to - no wait I assume the tests were passing anyway.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: what was that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"In hindsight I should have ran the tests on both of them first to validate what the functionality was, but - because now I'm not seeing any errors, not any compilation errors, expected values. I'm just going to run this and see if it works. I assume the red is git [14:07] 
 Well this is Java and it should have compiled and it should have complained if there was something.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: you mention that you're not a power user of IntelliJ what do you usually work with?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It depends usually Eclipse. *lists keycombinations for Eclipse*,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Oh it's fast, hey I think that's good.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I think this works. I can't think of anything I've missed, this looks like a fairly straightforward approach.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Ok. Please tell me in your own words what kind of source code changes you did in order to solve the task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"What kind of source code changes? Method extraction, it's just simply moving methods from one place to another and cleaning up the previous classes to make sure that you're not leaving anything redundant behind. I guess technically I should run the other tests to make sure that they still run, but considering they are unit tests, each of them should be self contained. So code changes, literally just moving them around. No code changes, just copy-and-paste moving. And potentially looking for - like seeing if I missed anything but there weren't any.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Are there any changes you are unsure if you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In general because I don't understand this fully I'm a little hesitant but considering all the tests are passing right now and I have a decent degree of confidence that it is working?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you mean by not understanding it fully?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I mean I haven't read everything. They are pretty simple tests I guess. It seems to simple.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Let's move on.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T2: [17:15],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Locate the methods in StringUtils.java. Just checking if these are any of the ones we moved? This is weird I'm searching and it's not here.. Oh right! I'm looking in the StringUtilsTests and this is in the ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"There is a command in IntelliJ to look for - ah that's it. [18:34] StringUtils that's the one then - what window am I in, this is just the tests. Here is StringUtils isAllEmpty here it is. Return negation of IsAnyNotEmpty - seems simple enough - and isAllBlank. There we go. So these methods that call other methods. And we ...remove methods isAnyNotBlank and isAnyNotEmpty - I'm just curious is there a reason why they didn't ask me to locate those methods first. It's been communicated to me that these methods are no longer necessary. Based on what I'm reading it's not like - this is what I am considering - if we remove these methods are we removing anything unintentionally like maybe something was - some methods call other methods so making sure nothing else was removed. I'm thinking right now, based on this, if I remove isAnyNotBlank and isAnyNotEmpty the biggest thing I need to worry about is if they are called in the tests but I have a feeling that is - oh wait what am I thinking - isAllBlank calls the negation of isAnyNotBlank - I see.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"They want to remove it and put all in here. The easiest thing I can think of doing is, if we want to just remove this from the API, we can just make them private methods, and that way we know that no one external calls them. That way because the emphasis is that it's confusing to use double negation maybe we do want to extract them to here but literally if I was asked for the simplest way to do this I was make them private and be done with it. But I'm not sure that goes against the spirit of this. I would ask for more clarification.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: In this case you should remove the method declarations.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
What I'm going to do since we have tests for this I'll look at the stringUtilsTest and look at isAllBlank.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: I'll remind you that you moved some tests so they might be in the other class.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok so this is going to be in my new StringUtilsEmptyBlankTest.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"[22:13] The good news is if I remove this method, if anything goes wrong, it should break a lot of stuff in here, and that will be a good way to know. So what I'll do is, I'll run the tests, make sure it's passing, then the thing I'll do is remove it, and it'll break - we know it'll break -- then I'll fix it. Functionality should be preserved.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Consider they're just wrappers - the first thing I'll do is I'll copy. This is isAnyNotBlank and this is - wrong - isAnyNotBlank. Where did that method go..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
