Task 1,,,Predictable (8),Effective (0),Satisfaction (3),Trust (2),Efficient (1),Vector: ,Invoke (3),Row Range, Predictable (3), Effective (0), Satisfaction (0), Trust (0), Efficient (0),Not Predictable (5),Not Effective (0),Not Satisfaction (3),Not Trust (2),Not Efficient (1),Refactorings
This is the first one I'll leave it open here for the sake of it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Not sure if this button works the same. Oops. I'm trying to locate these two packages.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No string folder ok so it's in the root folder. I have to find the tests. There is a bunch of static here that I'm not sure if I have to move. So testAny..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I have to move all of these ones right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I mean I think that I will just create a new class, move the tests and see what breaks, and go from there.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: By “go from there”, are you talking about these static things you mentioned?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am copying and pasting just because it might be easier to have like the same class with a different name because with that I'm going to have the imports and everything and I don't need to start from scratch. I'll run all the tests to make sure that the copy is working. Try again. Run. Dont think I need this. isAnyEmpty. isAnynotEmptyEmpty.. it's here.. *list tests*,,"Duplicate Class 
 Run tests",0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This should be the last one,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
A lot of tests. I am deleting all of these ones that I moved. I'll go back to the original class and delete them here just to make sure.,,Reduce to compliments,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So we should be up until here. I'll run the original class again. This one is working.,,Run tests,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
From this one I'll remove *reads tests* And there is also a constant. I wonder if I can drag and drop. Yay. [12:21],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This thing broke on the other side. Duplicate this here and I put this back. I'll run this class again. I'm assuming it builds before running the tests. I'll run this one. This one as well.,,"Duplicate constant 
 Run tests",0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Both of the other classes should be ok. And this one, the last thing I would do is delete all these things that aren't used.",,Cleanup,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How are you choosing what to delete?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The IDE is pointing them out.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It's funny because all of these things - oh This is interesting. When I moved is still pointing to the old stringutils test-file. I can remove that.,,Redirect references,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did that surprise you?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It did. I wanted to move the files and I think that when I moved it from here if there is a variable here with the same name maybe it would fetch the reference from here rather than from the old file. I understand that it's trying to not break my code. But then it starts to add dependencies between that I don't want.,"Invocation
Not Predictable (“It did”)
 Not Satisfaction(“…that I don’t want”)",,1,0,1,0,0,"<1,0,1,0,0>",0,20-20,0,0,0,0,0,1,0,1,0,0,
I: So to clarify did you expect that the code you clicked-and-dragged over was updated with references?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I was expected to move the code but necessarily perform a refactoring. But on the IDE it did the move but it also added more than just moving the code. It changed the text that I moved from one file to another to ensure that it didn't have any compile errors.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: The one you dragged was from the EmptyBlank so they already had that prefix.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Oh it's even worse then.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: It didn't actually break this code since you dragged this field and broke the remaining code.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes I don't like this. I don't know how much time I have per test but if it's me I'll probably select all of these guys and refactor ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you looking for?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
A replace.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What do you mean by replace?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If you do an edit -> find -> replace there is a bunch of ""foo"" and I don't want them. if there is a variable I want to use the variable every time.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So now you are using the textual search and replace but when you invoked it in the refactoring menu how did you expect it to be different from the one you use now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I remember - I could have done extract constant but there was already a constant there. I'm not sure what would happen. Refactor, extract, constant. So it's now renaming to foo1 because there's already a foo there. Ok. Ctrl+z.","Invocation
Not Predictable (“not sure what would happen”)",Invoke (Extract Constant),1,0,0,0,0,"<1,0,0,0,0>",1,32-32,0,0,0,0,0,1,0,0,0,0,Extract Constant
Bye foo. I deleted foo. and now I'm searching for this one.,,Invoke (Extract Constant),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Extract Constant
"extract constant replace all occurrences. And now I have foo for all of them. And it's funny because in this class - none of these classes are consistent because in this class it's FOO and in the beginning there were some that were not like that. Or at least for example, for bar. That will take a while, refactor extract, bar, replace all occurrences. And finally bob.",,Invoke (Extract Constant),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Extract Constant
I: I'm going to stop you since I recognise the repeating pattern in what you're doing. Do you consider this task finished aside from this extracting?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Probably. Let me look at it. null foo. null foo. is notBlank. StringUtil..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
null null bar bar bob bob,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't see any differences between these two. I'm just copying and pasting these can I open a browser?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you doing now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm opening a diff checker. It seems like the tests for isNotBlank and this other one is very similar and I want to konw what the difference is.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
IsNoneBlank isAnyNotBlank. Aah.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: what did you discover?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The only difference is the method signature. isNoneBlank and isAnyNotBlank.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So now I'll see if there is a way to pass the method signature as an argument. ""Java pass function as parameter""",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: This is in order to improve the code?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: The things you're doing now are they to improve the code or necessary to the task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I already moved all the things. It seems to be working but the code is not consistent and I want it to be. I want all the methods to have the same look. [25:14],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Here you have foo, bar, and this string should ideally be in a constant. I would test them in the same way",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And then I think that all these methods they follow the same pattern and I don't see any reason to have them as different methods. I would have something like test functions - or a for-loop and if any of them broke I would have a message saying which one broke.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It goes beyond refactoring because - or I don't know does it? It goes beyond refactoring because now I'm squishing a bunch of methods into a single one but the behavior would still be the same.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
