Sounds good.,,,Predictable (6),Effective (10),Satisfaction (4),Trust (2),Efficient (5),Vector: ,Invoke (12),Row Range, Predictable (3), Effective (4), Satisfaction (1), Trust (2), Efficient (2),Not Predictable (3),Not Effective (6),Not Satisfaction (3),Not Trust (0),Not Efficient (3),Refactorings
So I can just start poking around?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yep!,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Test folder. Tests mixed in here. Those are just tests. Ok, these are all tests.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Is this actually just a copy of apache commons or something? Or is it built from scratch?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: are you familiar with Apache Commons?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It's a long time since I used it. We used it on the first product I worked on. The we replaced it with Guava; we didn't want to mix them up. I've only really used some basic, no extensive use.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Ever looked at their code before?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"No. 
 Ok, it's a helper..",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Obviously I'm not going to read through all this code to start. That would take a million years. But it's Apache Commons style, there's a bunch of static methods to do various things that people like doing. These tests are very confusingly organized, but they have tests.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: what's confusing about them?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That there is a folder in the tests called test. That confused me. That's just supposed to be called text.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Cool. Thanks for finding that.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
some code duplicated between tests and ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: That's probably my bad. It should not impact your work.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm not going to read all the code here, so let me just start on the first task and see what is needed for that.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So I guess we'll just.. ok, I'll close all these. I don't use a mac, so I'm bad at key shortcuts.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
i Do you use intellij?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I do now, for scala, but I used to use eclipse.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T1,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So, stringutils test and stringutilstrimemptytest",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So I want to create a new test class, to house these, and then move this test over. So I'll have a look at the tests that exist to see if they're self-contained or use a bunch of private methods that are in these classes.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: why do you check that,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"If the tests are self-contained you just copy the tests to a new file, and that's it. But if the tests have been written in a way that use all these private methods, then we need to decide do we duplicate these into the new test class; would it be worth it to extract some sort of utility so they're shared amongst a couple different test classes, if they're super simple it's probably fine to duplicate them; if there is some complexity there so they might change, then it's probably better to extract to common usage. And also I just kind of want to see what the test is doing.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"There is the stringutilstrimemptytest. Ok, we're looking for the empty and blank related methods. that's pretty clear here. *reading* nice divider line. They are the four we care about here, and I can see that they are entirely self-contained, so I'm happy just copying them out of here and putting them into the new file. So for the StringUtilsTrimEmptyTest, *reading*",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
