Task 1 [07:46],,,Predictable (5),Effective (3),Satisfaction (3),Trust (1),Efficient (2),Vector: ,Invoke (4),Row Range, Predictable (1), Effective (1), Satisfaction (1), Trust (1), Efficient (1),Not Predictable (4),Not Effective (2),Not Satisfaction (2),Not Trust (0),Not Efficient (1),Refactorings
We want to get rid of trimemptytest,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
so basically we want empty and blank in the same class. [08:51],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Cool. So we want to create a new class for those. And then move them. I am assuming - let's see if we can move those. [09:22],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Create a new class. [09:59],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Do we have a name suggested or do I make up a name? StrnigUtilsBlankEmptyTest [10:13],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
let's just move stuff 'cause it will move the things for me. We can put a comment. [11:38],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So we want to move these - there's only four of them.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you checking now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Just making sure those are specifically the ones I want. I don't need to check for more? et's see if these can be moved in bulk. I don't know if I can highlight more than one. [12:44],,Invoke (Move),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Move
"I: Would you usually go and check that, or is it because of the refactoring study?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I don't know if I can do multiple at a time, what I might do is move one and then cut and paste the others. Eclipse is pretty good at pulling junk out. Type is not in project make static and move - no, I don't want that. So I guess I can't move. [13:35]","Invocation
Not Satisfaction (
 (“no, I don't want that.”)
 Not Effective 
 (“I guess I can't move.”)",,0,1,1,0,0,"<0,1,1,0,0>",0,12-12,0,0,0,0,0,0,1,1,0,0,
I: Did you notice that it was called move instance method?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Hmm,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know what this means?,,Invoke (Move),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Move
No. I know what an instance method is but I don't know why it want to make it static. There are no variables. Foo is static. Right. [14:22],"Invocation
Not Predictable (“I don't know why it want to make it static.”)",,1,0,0,0,0,"<1,0,0,0,0>",0,16-16,0,0,0,0,0,1,0,0,0,0,
I would just assume it would move from instance to instance. Not sure why it want me to switch to static. So I will do the next best thing.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You're not inspired to figure that out?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Not generally, no. [14:45] Sorry.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I find, at least for eclipse, that these things are good enough that you just insert the stuff - I'm getting a bunch of can not resolve .. I guess I should do something.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"foo is missing. In this case - we may want to import that I guess from one to the other, but I am ok with copying things from one test to another.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any cases you wouldn't have done it like this?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
