T1 Ready to start. [03:16],,,Predictable (4),Effective (9),Satisfaction (8),Trust (6),Efficient (7),Vector: ,Invoke (9),Row Range, Predictable (4), Effective (6), Satisfaction (6), Trust (5), Efficient (5),Not Predictable (0),Not Effective (3),Not Satisfaction (2),Not Trust (1),Not Efficient (2),Refactorings
I'll look through to find the things that are referenced. Probably create a new test class and ideally refactor-move a bunch of methods. That will be a little dependent on what kind of setup structure they depend on. I haven't read through to see what the tests are. This is using a fair bit of static context here. [04:29],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So in this StringUtilsTrimEmtpyTest .. I see we're only pulling out the null and empty bits from trimEmpty. But trimempty has a bunch of additional.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So StringUtilsTrimEmtpyTest seems to be a fairly straightforward test. There is no dependencies between tests. So it's an easy one to start with. Just duplicate it and delete what I don't want. [05:37],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I only want these first four tests. [05:42],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Should remove them from TrimEmpty.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then in moving things from stringUtils here things look a little less well [06:05] no this looks fine.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
These are all standalone. [06:33],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So in theory now we would like .. Oh.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Sorry you can only use mvn in the IDE.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Oh. ok.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Would you usually interact with it through the terminal?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. I wouldn't do anything except import into the IDE from inside the IDE. I think those are the tests as specified. It's just copy-paste. I suppose the duplicate with rename is an IDE function.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you feel done?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Which source code changes did you do in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I moved a bunch of independent methods from one class to another.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did you do that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Using copy-paste trusting that my IDE would automatically manage my imports for me.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You indicated that you wanted to refactor-move them but ended up copy-pasting.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The more complicated the operation the more likely I would be to use the IDE's tools. Because the methods were not related to any other code it was more efficient to move them all at once. I think refactor-move lets you select multiple but it's just unnecessary when methods are independent.,"Reflection
Efficient",,0,0,0,0,1,"<0,0,0,0,1>",0,21-21,0,0,0,0,1,0,0,0,0,0,
I: So if this had been more complicated you would have been more inclined to use the tool?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Have you used this tooling before?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you elaborate?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If I were to move a more complicated one.. like this one using the constant here so this one has a reference to a private member. [09:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This is not the shortcut..,,Invoke (Move),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Move
I: What is happening now? [09:56],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm actually not sure what this error message is.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
All candidate variables have types that are not .. I think this is telling me that the method could be static. That it is not using any instance variables from the class it is starting in. Which would be fine except that it would break JUnit. But in theory if I were to continue here. I would select the members that I want to move and where I am moving them to. And it will automatically escalate visibility of dependent members if I want it to. [10:49],"Reflection
Effective
 (“it will automatically escalate visibility of dependent members if I want it to”)",Invoke (Move) ,0,1,0,0,0,"<0,1,0,0,0>",1,31-31,0,1,0,0,0,0,0,0,0,0,Move
Definitely was easier to copy-paste than to use this for this example.,"Invocation
Not Efficient 
 (“definitely was easier to copy-paste than to use this”)",,0,0,0,0,1,"<0,0,0,0,1>",0,32-32,0,0,0,0,0,0,0,0,0,1,
