,,,,Cost-Benfit Analysis,Tool Triggers,Lack of Code Understanding,Usage Overhead,Tolerance if Speed,Duplicates,Control Sum,Cost-Benfit Analysis,Tool Triggers,Lack of Code Understanding,Usage Overhead,Tolerance if Speed,Sorting
,,,,21,2,2,4,1,0,30,ID2ID3ID4ID5ID7ID8ID9ID11ID12ID14ID16ID18ID19,ID3ID9,ID6ID11,ID9ID14,ID9,
"<1,1,1,0,1>",ID2,"It's located in a read only container.
So at this point when you get an error like that it's like this is useless I don't know what to do with it. Am I actually going to go in there and start figuring out why JUnit-Assert-class is located... what. That's not helpful at all.
So even if I .. maybe if I just do this. And this is the thing once you try this a few times .. Oh there that's better. Then now it's like .. what am I moving am I moving the entire class? That's not what I want. Extract? Oh that didn't work. Extract .. Method? Well that's not what I want either. 'Cause that implies you just got a small section of code
At this point I'm like well I've got four more methods why don't I just move them? So what's the point. Unless I've been trained specifically on how to use these things. Let's see if this is actually going to work. This may fail because again it's a different file I'm pulling it from. What that's not what I want this is what I want. Let's see what happens now. Interesting what's happening here. Uuh cannot resolve foo. Now this is challenging. Ok where is foo defined oh here is foo. Who wrote this code seriously. Should not be using foo as a variable name. Now the question is I'll put this a the top here even though it's actually not used by any of the top tests this should actually work. Looks like it work. Run it. Done. Ok so I need isNotEmpty and isNotBlank and isBlank. Blank and isNotBlank. I'm having mouse issues.","Invocation
Not Predictable
 (“what am I moving am I moving the entire class?”)
 Not Satisfaction
 (“Not what I want”)
 Not Effective
 (“that didn't work”)Invocation
Not Efficient
 (“I've got four more methods why don't I just move them”)",1,,,,,0,,ID2,,,,,1
"<0,0,0,0,1>",ID3,"When you change something there may be a risk for side effects that is why I am weary to trust the tool and using it. [1:42:46]
I: It sounds like you are unlikely to trust the tool?
That is too strong a statement. If it is small changes I can just do it by hand. If I am wasting too much time then I would do it. [1:43:29]","Reflection
Efficient
 (“If I am wasting too much time then I would do it.”)",1,,,,,0,,ID3,,,,,2
"<1,0,1,1,1>",ID4,"Well there was this intelliJ one that sort of did it but then I guess it messed with how I approached the problem so I decided not to use it.
I: So what happened there? Can you elaborate?
Yeah what happened is once I changed it I realised I - I guess in tandem with other tools I realised that I didn't actually know what was changed elsewhere like in the tests for instance. I guess it could have shown me that the tests were broken - but for me at this point with this particular task I liked using the compiler to show me where the error were. So what happened was I realized that I didn't - because I also didn't understand the previous test well enough I didn't understand what was actually changed and I had to do an external diff to compare it. To me it was easier instead of doing that to just use the visual diff of the red and do that. And that's because I found it more intuitive or I guess .. more .. less .. less reliant on other tools because I guess the java compiler is such an ubiquitous thing and I am just leveraging that.
I: It took quite a long time and it seems the tool could have done some of those changes faster?
It might have that's a thing I'm not .. 'cause I did change it and remove it but I still found I had to do some of those things manually. Based on what I did the first time around I evaluated it and I thought it was not that much faster with that I was doing. And I figured that my familiarity with my current thing would have made me just switch back to it. Is it worth it for me to use this I guess untested tool now and I decided that I'd rather just finish it up faster. I think we can conclude people are set in their ways.
I guess what happened was I was confronted with something that made me uncomfortable and made not as sure as my current process and so I decided to revert back to it. What happened once I reverted to my process I found it more intuitive and I thought it ended up being faster than the other one. Because with the other one I would have kept checking kept looking over my shoulder the entire time.
I: You would have kept looking over your shoulder.
I would have felt more than normal like I might have missed something.
I: Is that because you don't trust the tool?
Yeah a little bit. Yeah like when I used the tool I was like wait did change and I ended up having to look.
I: Did you use the preview window?
Yeah - what exactly happens - because I thought I used it and I didn't really see much. It kept taking me out of it and I thought - I think having something .. I think having like an active - instead of jumping back into the code I was expecting to see a before and after and I didn't see a diff and maybe there was one but I didn't see it and I was expecting to see a diff.","Reflection
Not Predictable
 (“didn't actually know what was changed elsewhere”)
 Not Efficient
 (“To me it was easier instead of doing that to just use the visual diff of the red and do that.”)Reflection
Not Efficient 
 (“it was not that much faster with that I was doing.”)
 Not Trust 
 (“untested tool”)Reflection
Not Satisfaction
 (“made me uncomfortable”)
 Not Efficient
 (“I reverted to my process … I thought it ended up being faster than the other one”)
 Not Trust 
 (“I would have kept checking kept looking over my shoulder the entire time. “)Reflection
Not Satisfaction 
 (“was expecting to see a before and after and I didn't see a diff”)",1,,,,,0,,ID4,,,,,6
"<1,1,1,0,1>",ID4,"Of what?
I: Of this method.
No if it is as simple as I thought it wouldn't because it'll say return but then it will be the first like of the method. But I guess I don't know what intelliJ ..
Inline and remove the method inline all and keep the method inline this only and keep the method. So ah to me what happens is I feel like this .. I wonder maybe it's my personal experience but we're not really taught this particular terminology. Either that or I didn't pay attention in class. But to me it's like - for example when I was asked in the questionnaire about more formal refactoring I guess it's like when I was taught design patterns I was like what are these things and it sounded more daunting then I was shown it and I was like ah and now I can use design patterns because I've learned the vocabulary. But it's not something I would have done ahead of time. And I think these refactoring patterns because I'm sure people talk about them but I haven't learned them in a course in university and I'm sure that's probably why. But I'm not sure. When I'm seeing this I'm trying to infer what it means by inline all remove the method inline all keep the method inline this and keep the method. I'm assuming inline all remove the method means find everything that matches this type of inline and remove it inline all and remove the method it's straightforward it's going to remove the method that this is calling so it's going to remove readField and inline this means that I'm going to inline this particular occurrences. I have a feel that it's just going to replace everything and return the end of the same inline field but we'll see.
[1:36:20] What did I press? I just pressed undo by the way. Yeah inline keep the method there is no preview but.. Uh.. what did it call beforehand? field and target. Oh yeah looks like it worked quite well.
I: So now you just undid?
Yeah I just undid because I wanted to see what the difference was. This is literally just me playing around with it trying to see what it's doing.
I: So you wanted to go back in order to go back in order to compare this with the result of yor refactoring.
Yeah and obviously I want to see what this method does. yeah so it literally just replaced it. Huh. That is quite useful. That would have saved me a lot of time.
I: Do you think you would have used that?
Yes because I feel like inline now that I'm understanding it it looks simple enough that yeah I would have probably done that if I knew that this tool existed then yeah","Invocation
Predictable (describes what they each do)Invocation
Effective (“worked quite well”)Reflection
Efficient (“saved me a lot of time”)Reflection
Satisfaction",1,,,,,0,,ID4,,,,,8
"<0,0,0,0,1>",ID4,"What was the question?
I: I was askind about what you were willing to sacrifise and I was trying to understand the tradeoff
I'm willing to sacrifise some correctness if I have other things that can help me like - if it's something that is very rote very repetitive and it's super fast I would be ok as long as I've other tools in place to show it's incorrectness I'd be like sure this is incorrect.","Reflection
Efficient("" if it's something that is very rote very repetitive and it's super fast "")",1,,,,,0,,ID4,,,,,9
"<0,0,0,0,1>",ID5,"Based on the name. The name was something like test forceacces writeField. Like, everything that had forceaccess in it could be removed. [1:14:59]
I: You looked at the refactoring menu. What made you look at the refactoring menu and not at the other tasks?
I felt like it would be a lot more work to remove this manually. There might be a lot of other places that use the method, and I would not want to manually delete or change the method call there.","Reflection
Efficient (“a lot more work to remove this manually”)",1,,,,,0,,ID5,,,,,10
"<1,1,0,0,1>",ID7,"The IDE refactoring tools I used a lot in Eclipse were all scoped to the class I was working on. If I created new classes I tended to do it manually.
I: Why?
When I started out, I didn't use any ref tools cause I didn't know they existed. For the tools scoped to a single class, like rearranging method signatures, extracting constants, fields, variables, those kinds of operations, I felt like I got an immediate boost in productivity by using them and they were very predictable. It was obvious just from looking at what it said it was going to do, I click on it and it does it, it did what I would have done manually, and it did it faster. For any refactoring that was more complex than those, maybe I did it once or twice, it didn't do what I envisioned that it would do, so I had a miss of expectations there, and it didn't increase my productivity, it got in my way, by doing something I didn't want.","Reflection
Efficient (“immediate boost in productivity”)
 Predictable (“they were very predictable”)
 Effective (“it did what I would have done manually”)",1,,,,,0,,ID7,,,,,12
"<0,0,0,0,1>",ID8,"In this case, the changes I made were usually deleting one method, in this case the one I actually wanted - deleting the method signature in the way, changing the method signature of the one that wasn't and then fixing up various tests or places that used the feature. [1:48:12]
I: Do you know any tools that could've automated this?
I tried using the refactor tool, change signature. It is all right, it is useful I think when you are changing a lot of places. In some cases, it was not so useful because it was as much work to run that as to go and change those places.","Reflection
Not Efficient (“it was not so useful because it was as much work to run that as to go and change those places.“)",1,,,,,0,,ID8,,,,,17
"<0,1,0,0,1>",ID9,"I: What is happening now? [09:56]
I'm actually not sure what this error message is.
All candidate variables have types that are not .. I think this is telling me that the method could be static. That it is not using any instance variables from the class it is starting in. Which would be fine except that it would break JUnit. But in theory if I were to continue here. I would select the members that I want to move and where I am moving them to. And it will automatically escalate visibility of dependent members if I want it to. [10:49]
Definitely was easier to copy-paste than to use this for this example.","Reflection
Effective
 (“it will automatically escalate visibility of dependent members if I want it to”)Invocation
Not Efficient 
 (“definitely was easier to copy-paste than to use this”)",1,,,,,0,,ID9,,,,,20
"<0,0,0,0,1>",ID11,"Nope. I have never used any tools for automated refactorings?
I: Why do you avoid using them?
I have never used them. I am not sure there is any one reason why. I am unsure how much time it would save me. It is something for me to look into I guess. These types of changes are fairy simple and doesn't really come up a lot. Task 3 I can see coming up. Task 2 would never come up. Task 1 this happens a lot moving stuff around.","Reflection
Efficient
 (“how much time it would save me”)",1,,,,,0,,ID11,,,,,27
"<0,0,0,0,1>",ID12,"I'm not sure. The IDE might provide some things. I've definitely used extract in the past when we had a lot of classes. That would have worked the first time when I copied them into a new class. Extract, you usually extract into a new class. And then for the other one you could also extract into an existing class I assume. [17:52]
I: Why didn't you try to use it? [18:02]
I figured that trying to figure out the IDE for this would probably take as long as trying to do it manually this time. If however I had started a new job in a Java shop with this specific IDE then I probably would have tried to figure out how it work. [18:28]","Reflection
Not Efficient (“trying to figure out the IDE for this would probably take as long as trying to do it manually this time.”)",1,,,,,0,,ID12,,,,,28
