,,,,"User Generalized, Tool Not ",Not enough info in UI,Incomprehensible error messages,preview with implications ,review and convince,adjust changes ,No alternatives,Duplicates,"Control Sum
(79 total - 27 discarded + duplicates)","User Generalized, Tool Not ",Not enough info in UI,Incomprehensible error messages,preview with implications ,review and convince,adjust changes ,No alternatives,Sorting
,,,,2,9,6,16,15,11,1,8,60,ID2ID8,ID2ID7ID3ID4ID8ID10,ID2ID7ID10ID14,ID2ID4ID10ID13ID14ID16ID18ID19,ID2ID4ID7ID8ID9ID10ID11ID12ID14ID19,ID4ID6ID7ID8ID9,ID16,
"<1,1,1,0,1>",ID2,"It's located in a read only container.
So at this point when you get an error like that it's like this is useless I don't know what to do with it. Am I actually going to go in there and start figuring out why JUnit-Assert-class is located... what. That's not helpful at all.
So even if I .. maybe if I just do this. And this is the thing once you try this a few times .. Oh there that's better. Then now it's like .. what am I moving am I moving the entire class? That's not what I want. Extract? Oh that didn't work. Extract .. Method? Well that's not what I want either. 'Cause that implies you just got a small section of code
At this point I'm like well I've got four more methods why don't I just move them? So what's the point. Unless I've been trained specifically on how to use these things. Let's see if this is actually going to work. This may fail because again it's a different file I'm pulling it from. What that's not what I want this is what I want. Let's see what happens now. Interesting what's happening here. Uuh cannot resolve foo. Now this is challenging. Ok where is foo defined oh here is foo. Who wrote this code seriously. Should not be using foo as a variable name. Now the question is I'll put this a the top here even though it's actually not used by any of the top tests this should actually work. Looks like it work. Run it. Done. Ok so I need isNotEmpty and isNotBlank and isBlank. Blank and isNotBlank. I'm having mouse issues.","Invocation
Not Predictable
 (“what am I moving am I moving the entire class?”)
 Not Satisfaction
 (“Not what I want”)
 Not Effective
 (“that didn't work”)Invocation
Not Efficient
 (“I've got four more methods why don't I just move them”)",1,1,1,,,,,2,,ID2,ID2,ID2,,,,,1
"<1,0,0,0,0>",ID7,"Alright, so StringUtils use them and they are used in the tests. Check isAnyNotBlank, find usages, and again, only referenced in StringUtils, In one spot for the negation, and in the tests. So now my plan is, I'm going to delete the tests, and then I'm just going to delelete the isAnyNot-methods, and then they'll be inlined into the isAll-methods, and then I think I'm done. Alright, so we have my empty and blankTest and any empty, just delete the anyNotEmpty. nd anyNotBlank. Now all .. will this rerun my find? Oh look at that, that's cute
Now I can see they're only used in stringutils. So now I can inline this.
Ah, not supported when return statement interrupts execution flow. I don't know what that means. But I'm guessing it's because this [!] is here. So what I'm going to do is extract this get a result value and then I'll probably be able to inline this.","Invocation
Not Predictable (“I don’t know what this means”)",,1,1,,,,,1,,,ID7,ID7,,,,,27
"<1,0,0,0,0>",ID2,"Yeah I have done this one before!
I: This is still not going to work but for stupid reasons.
Now it thinks it's an instance method and want to do move to component which nobody these days knows what is.","Reflection
Not Predictable
 (“move to component which nobody these days knows what is”)",,,1,,,,,0,,,,ID2,,,,,2
"<1,1,0,0,0>",ID10,"I: Yes sure, you are not in any way bound to the plan you made.
No. Silly.
Uhm, I don't really want to make this static. But this also gives me nothing. Ah, ok sad.
I'll make a new Java class I guess then. StringUtils - let's call it empty and blank. Unit tests for methods of StringUtils which been moved to their own test classes. Ok. Cool.
So then, heck, if what I want to do isn't working well, let's move it. Let me move it correctly here.
Great. Cool. So that isAnyNotEmpty. Let's go for isAnyEmpty. I don't really know what these comments are going for here. No, that's not really. Maybe you need a testing constructor. No sorry. What I want to do. I should be able to move it.
I: What did you expect this move refactoring to do here?
That's a great question. I would expect that move refactoring to be able to move an instance methods between two classes. And when it's talking about like, all candidate variables have types that are not in the project, I don't really know it means by candidate variables.","Invocation
Not Effective (“I don't really want to make this static. But this also gives me nothing.”)Invocation
Not Predictable 
 (“I don't really know it means by candidate variables. “)",,,1,,,,,0,,,,ID10,,,,,40
"<1,0,1,0,0>",ID10,"By going through the structure of the test.
And I see that there's still a whole bunch of orange sad marks here, but there's nothing red, so it still compiles. at the very least. Lest go to the top of the file and hit ctrl + shift + r to run the tests. It's compiling everything ... that's all fine and dandy. it's going to complain about - can be private, I'm sure that's fine, and stuff that's never used.
Ah, really? I would have expected it to say, I could remove all the unused things for you, but I don't see that there. No. Ok. Well, before I do that, I'm going to take a look at the StringUtilsEmptyTrimTest. Test one - let me not make the same mistake again. What kind of stuff do we have in here. [20:11] Type migration, make static. No. That's really frustrating.
I: Why is that frustrating?
The - again I don't really know what it means when it says candidate variables. Having the different types that aren't in the project, that doesn't mean too much to me. Like, I understand the thing about the type in theory, but what types are in the project. [21:14] Making it static and then moving it - like sure, let's try this. Sure. But I don't need it to be a static method. Okay, so, let me - before I make any changes there, let me be happy with my brand new file there. I know there are some trailing whitespaces they were already there. Ok.","Invocation
Not Satisfaction (“That's really frustrating.”)Invocation
Not Predictable (“I don't really know what it means”)",,,1,,,,,0,,,,ID10,,,,,41
"<1,0,0,0,0>",ID14,"Inline method is not supported when return statement interrups execution flow. What. Well I can do two refactorings then. I'll make a local variable.
I: Can you please explain what happened when you tried to locate it and why you're doing this now.
It gave me an error message which said that it cannot refactor it when it's part of the return statement. Which is bizarre to me.","Invocation
Not Predictable (""Which is bizarre to me.“)",,,1,,,,,0,,,,ID14,,,,,59
"<1,1,1,0,1>",ID3,"I just did.
I: Yes manually. Did you consider checking the refactoring menu. [1:49:46] Why did you not consider using it?
So I would inline this into this.. How would I do this? I have never used this before. Here is the refactoring menu. So it says it has 20 occurrances. What do I even do here? This is like - this is not even the function it is usages of it? Will this change the invocation? This is not what I want. This is already discouraging me from pursuing it forward. Only if I discover that what I want to do is impossible or taking too long then I would research.","Invocation
Not Predictable
 (“What do I even do here”)
 Not Satisfaction 
 (“already discouraging me from pursuing it forward”)
 Not Effective 
 (“This is not what I want. “)
 Efficient 
 (“Only if I discover that what I want to do is..taking too long”)",,1,,,,,,0,,,ID3,,,,,,7
"<1,1,0,1,0>",ID4,"I'll be honest I've never used this. I guess I've used something similar in Eclipse. Remember I said I've self-confessed ludite tendencies like because I don't know the tool I might actually just - oh there's a preview. What happens if I just remove this?
I: You can remove it through the minus sign here.
So what happens if I remove this? The problem is that it's already defined - ah of course we already have oh by the way I'll admit straight up I'm biased to look at this tool because I'm self-aware of being in a study of refactoring tools.
I: So you wouldn't normally have looked at it?
I might have if a co-worker had shown it to me. I think the thing with IDEs the reason I do some of this stuff in Eclipse is because I was shown some of these things when I was an intern. The fact that I've never had anyone sit me down and and say - I guess I've never devoted time at work that I should sit down and learn my IDE. It's mostly just let's get this done. I guess I've just used an approach that works.
Anyway. I feel like what's going to happen is what I'd do is just delete this method now then I know that some times with certain IDEs I am not sure if I remove a method it might complain somewhere else and it might not let me refactor if there already is compile issues.
I: So what was you original plan you want to remove..
What I'll do is I'll just remove this instead of running refactor I'll just remove it and just look myself. I guess I just trust what I can see.","Invocation
Predictable
 (“what happens if I remove this? The problem is that it's already defined“)Invocation
Not Effective 
 (“it might not let me refactor”)Invocation
Not Trust",,1,,,,,,0,,,ID4,,,,,,8
"<1,0,1,1,1>",ID4,"I see. Honestly probably because I didn't really know that one. It looks familiar because I've seen it but I've never used it.
I: You didn't know what it did?
...know.. I've seen it but I didn't know what it did. But that sounds way more useful and I probably should have used that because that is actually expanding the call like paste in does. I think it depends for me the more automagical it gets the less I trust it. To me Rename is simple. I like Rename I can quickly Rename I can see what is Renamed et cetera.
I: What is simple with it?
It is effectively a very specialized find-and-replace - I guess they all are. To me it just feels like it doesn't do anything - it doesn't feel super fancy. Like compared to this method signature one where it changed a lot of different places - maybe because I'm just more familiar with it but it just seems more - I guess it's because it's more similar to .. I'm not sure.. why do I ..","Reflection
Trust
 Efficient (“quickly”)
 Satisfaction (“like”)
 Predictable (“see what is Renamed”)Reflection
Predictable
 (“it doesn't feel super fancy. Like compared to this method signature one where it changed a lot of different places”)",,1,,,,,,0,,,ID4,,,,,,11
